Type_H,Type_L,Type_M,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp_diff,Torque_RPM_ratio,y_true,y_prob,risk_tier
-0.020720412348190675,-0.003235194920378159,0.016411477154329494,0.0004343453131285015,-0.00014981385930201707,0.014767196643326265,0.7937407455229831,-0.024077848351977266,-0.008656447605042163,0.06543279041754572,0,0.9969057037372778,High
0.0014190944222837454,0.05142408434765122,-0.06531363518172148,0.00950812534561901,-0.0025908151029353814,-0.06665800618337082,-0.02681166688361256,0.026563762171329497,0.06605335095323249,-0.03649527410688225,0,0.12005788555244855,Medium
0.0016716630210435873,-0.007462358762438934,0.014120946010371675,-0.003339079334079261,-0.004617252803132902,0.0335406089333331,-0.043945187026500944,-0.01773349563718433,0.002452409515703811,-0.021975831863482762,0,0.11567128782448811,Medium
0.0007270591850141797,0.023325084840374044,-0.018635943669655788,-0.0021552270844028224,0.0016817048919480775,0.039082944227279405,-0.031072813043211644,-0.029346110221054034,-0.004197418105320872,-0.024511059715387983,0,0.11785708707643765,Medium
-0.0031180841795160922,0.02144433031153661,-0.027118166739499495,-0.003491465027420903,0.0010832512272798689,0.06333442557589188,-0.03232352403119497,-0.017587470092694832,-0.004082443070590973,-0.04541904191335503,0,0.11568067783129114,Medium
0.0029678685877358377,-0.029276891671391,0.02646729855444211,-0.01522184549477092,0.003857624071691662,-0.003468055843945884,-0.019112587170945498,-0.026940822335896532,-0.023549741427330628,0.03907668562849243,0,0.11775839866893666,Medium
0.01004214530090618,-0.020083262668718967,0.013808389419939487,0.0008420126378332962,-0.006700319325795478,0.02600676735713515,-0.05129479408347593,-0.005400404470607944,0.005581528438299311,-0.019394655850348563,0,0.11636627252602162,Medium
-0.0012229643967180334,-0.015162633164663089,0.01517899647444845,0.008690851399420803,0.003436414778878948,-0.051808904348893015,-0.03859639701243568,-0.017988321345283862,0.06110049817762851,-0.00822171654420544,0,0.11836468978903267,Medium
-0.0057292181436823615,-0.020894152090149217,0.03457468935170544,0.0030493410320105185,-0.0005080912262239723,0.319017581127811,0.015329385663785751,-0.02459801383345023,0.45997313980916743,0.05682494684142741,1,0.9999984743032567,High
-0.12766713463528143,0.060214952657037586,0.02069615740975591,-0.03383656869785828,0.0016187619118604168,-0.21644742662878905,0.3090081458404589,-0.07142767567948133,-0.03233950516341322,0.09493622056399972,0,0.1677147933491443,Medium
-0.001763976352952017,-0.01914298170640053,0.01766672282623415,0.01131240950601581,0.0012508122877258748,-0.05704890467173515,0.024690661426664012,-0.051248935175805824,-0.016575985625406995,0.045396480168999685,0,0.1174951684541941,Medium
